"Date/Time","Sensible Cooling","Total Cooling","Zone Heating",
,"kW","kW","kW",
"01/01/2002 01:00:00","0","0","1.665689",
"01/01/2002 02:00:00","0","0","1.621295",
"01/01/2002 03:00:00","0","0","1.617704",
"01/01/2002 04:00:00","0","0","1.618883",
"01/01/2002 05:00:00","0","0","1.619753",
"01/01/2002 06:00:00","0","0","1.617107",
"01/01/2002 07:00:00","0","0","1.522673",
"01/01/2002 08:00:00","0","0","1.386073",
"01/01/2002 09:00:00","0","0","1.003411",
"01/01/2002 10:00:00","0","0","0.547106",
"01/01/2002 11:00:00","-0.029967","-0.029967","0",
"01/01/2002 12:00:00","-2.028828","-2.028828","0",
"01/01/2002 13:00:00","-4.029214","-4.029214","0",
"01/01/2002 14:00:00","-4.557467","-4.557467","0",
"01/01/2002 15:00:00","-4.018648","-4.018648","0",
"01/01/2002 16:00:00","-2.74998","-2.74998","0",
"01/01/2002 17:00:00","-0.797046","-0.797046","0",
"01/01/2002 18:00:00","0","0","0",
"01/01/2002 19:00:00","0","0","0",
"01/01/2002 20:00:00","0","0","0.103735",
"01/01/2002 21:00:00","0","0","0.655253",
"01/01/2002 22:00:00","0","0","1.046128",
"01/01/2002 23:00:00","0","0","1.30978",
"02/01/2002","0","0","1.558513",
"02/01/2002 01:00:00","0","0","1.80932",
"02/01/2002 02:00:00","0","0","1.994807",
"02/01/2002 03:00:00","0","0","2.160893",
"02/01/2002 04:00:00","0","0","2.286517",
"02/01/2002 05:00:00","0","0","2.383871",
"02/01/2002 06:00:00","0","0","2.48447",
"02/01/2002 07:00:00","0","0","2.571898",
"02/01/2002 08:00:00","0","0","2.615869",
"02/01/2002 09:00:00","0","0","2.60125",
"02/01/2002 10:00:00","0","0","2.555576",
"02/01/2002 11:00:00","0","0","2.482303",
"02/01/2002 12:00:00","0","0","2.467402",
"02/01/2002 13:00:00","0","0","2.527687",
"02/01/2002 14:00:00","0","0","2.586897",
"02/01/2002 15:00:00","0","0","2.644853",
"02/01/2002 16:00:00","0","0","2.748113",
"02/01/2002 17:00:00","0","0","2.908573",
"02/01/2002 18:00:00","0","0","3.046082",
"02/01/2002 19:00:00","0","0","3.117135",
"02/01/2002 20:00:00","0","0","3.15503",
"02/01/2002 21:00:00","0","0","3.183348",
"02/01/2002 22:00:00","0","0","3.215249",
"02/01/2002 23:00:00","0","0","3.257794",
"03/01/2002","0","0","3.277077",
"03/01/2002 01:00:00","0","0","3.296005",
"03/01/2002 02:00:00","0","0","3.29893",
"03/01/2002 03:00:00","0","0","3.272916",
"03/01/2002 04:00:00","0","0","3.262747",
"03/01/2002 05:00:00","0","0","3.297471",
"03/01/2002 06:00:00","0","0","3.357693",
"03/01/2002 07:00:00","0","0","3.413327",
"03/01/2002 08:00:00","0","0","3.365295",
"03/01/2002 09:00:00","0","0","3.100536",
"03/01/2002 10:00:00","0","0","2.989506",
"03/01/2002 11:00:00","0","0","2.614417",
"03/01/2002 12:00:00","0","0","0.463903",
"03/01/2002 13:00:00","0","0","0",
"03/01/2002 14:00:00","0","0","0",
"03/01/2002 15:00:00","0","0","0",
"03/01/2002 16:00:00","0","0","0",
"03/01/2002 17:00:00","0","0","0.224879",
