"Date/Time","Relative Humidity","Air Temperature","Radiant Temperature","Operative Temperature","Outside Dry-Bulb Temperature",
,"%","°C","°C","°C","°C",
"01/01/2002 01:00:00","18.7631","13.46937","13.95614","13.71276","-1.65",
"01/01/2002 02:00:00","22.76486","11.78811","12.11708","11.9526","0",
"01/01/2002 03:00:00","26.59719","10.28331","10.55659","10.41995","0",
"01/01/2002 04:00:00","29.56133","8.999452","9.213602","9.106526","0",
"01/01/2002 05:00:00","32.14247","7.903691","8.066323","7.985007","0",
"01/01/2002 06:00:00","33.78428","6.982882","7.092073","7.037477","0",
"01/01/2002 07:00:00","33.80529","6.454947","6.40151","6.428229","2.0625",
"01/01/2002 08:00:00","35.07588","6.276075","6.213962","6.245018","2.6125",
"01/01/2002 09:00:00","35.04195","6.886595","7.166806","7.0267","2.8875",
"01/01/2002 10:00:00","32.41129","8.450755","9.063444","8.7571","5.7375",
"01/01/2002 11:00:00","20.55086","14.93339","16.86293","15.89816","7.575",
"01/01/2002 12:00:00","9.836687","25.34775","26.96249","26.15512","8.4875",
"01/01/2002 13:00:00","5.658536","34.17924","35.85787","35.01856","9.2125",
"01/01/2002 14:00:00","3.764832","41.00705","42.67743","41.84224","10.15",
"01/01/2002 15:00:00","2.916995","44.98269","46.63889","45.81079","10.225",
"01/01/2002 16:00:00","2.733135","45.7427","47.13309","46.4379","9.625",
"01/01/2002 17:00:00","3.237434","42.26484","43.28658","42.77571","7.7125",
"01/01/2002 18:00:00","4.088724","37.11824","38.07171","37.59497","6.0125",
"01/01/2002 19:00:00","5.110738","32.65474","33.44344","33.04908","3.85",
"01/01/2002 20:00:00","6.597274","28.36587","29.18299","28.77443","2.425",
"01/01/2002 21:00:00","8.106091","24.70421","25.42027","25.06224","1.8875",
"01/01/2002 22:00:00","9.436535","21.4473","22.13331","21.79031","1.0125",
"01/01/2002 23:00:00","11.23065","18.5523","19.17639","18.86435","0.225",
"02/01/2002","14.59803","15.77964","16.45268","16.11616","-2.75",
"02/01/2002 01:00:00","19.12744","13.03269","13.71551","13.3741","-5.15",
"02/01/2002 02:00:00","22.44185","10.52404","11.16016","10.8421","-6.6",
"02/01/2002 03:00:00","24.54035","8.267052","8.773395","8.520224","-8.2625",
"02/01/2002 04:00:00","26.71852","6.039677","6.551626","6.295652","-9.2125",
"02/01/2002 05:00:00","28.62419","4.015704","4.532578","4.274141","-10.15",
"02/01/2002 06:00:00","29.99274","2.154728","2.642526","2.398627","-11.2875",
"02/01/2002 07:00:00","31.1005","0.4440356","0.8846402","0.6643379","-12.0125",
"02/01/2002 08:00:00","33.03507","-1.037495","-0.6533844","-0.8454398","-12.2",
"02/01/2002 09:00:00","34.5209","-2.232483","-1.842238","-2.03736","-12.575",
"02/01/2002 10:00:00","35.6962","-3.145722","-2.744099","-2.94491","-12.8",
"02/01/2002 11:00:00","35.00508","-3.795424","-3.398647","-3.597036","-12.8",
"02/01/2002 12:00:00","34.58733","-4.366008","-3.944827","-4.155418","-13.4875",
"02/01/2002 13:00:00","34.75185","-5.029172","-4.574513","-4.801843","-14.5875",
"02/01/2002 14:00:00","35.54659","-5.700684","-5.270379","-5.485531","-15",
"02/01/2002 15:00:00","36.26155","-6.345348","-5.982942","-6.164145","-15",
"02/01/2002 16:00:00","36.32612","-7.115886","-6.795561","-6.955724","-15.6875",
"02/01/2002 17:00:00","37.04171","-8.104291","-7.808684","-7.956488","-16.7875",
"02/01/2002 18:00:00","38.31123","-9.143291","-8.87625","-9.00977","-17.575",
"02/01/2002 19:00:00","39.33199","-10.05814","-9.8488","-9.953469","-17.8",
"02/01/2002 20:00:00","39.00845","-10.87119","-10.70413","-10.78766","-18.1125",
"02/01/2002 21:00:00","39.21861","-11.6201","-11.48976","-11.55493","-18.3",
"02/01/2002 22:00:00","39.01415","-12.30175","-12.19696","-12.24935","-18.675",
"02/01/2002 23:00:00","40.4433","-12.97989","-12.87761","-12.92875","-19.2125",
"03/01/2002","42.05563","-13.5499","-13.49392","-13.52191","-19.0875",
"03/01/2002 01:00:00","44.38655","-14.02075","-14.00395","-14.01235","-19.2125",
"03/01/2002 02:00:00","45.96621","-14.45462","-14.46708","-14.46085","-19.0875",
"03/01/2002 03:00:00","46.86183","-14.77256","-14.82678","-14.79967","-18.9",
"03/01/2002 04:00:00","47.37618","-15.10698","-15.16507","-15.13602","-19.2125",
"03/01/2002 05:00:00","48.16999","-15.49162","-15.53551","-15.51357","-19.775",
"03/01/2002 06:00:00","47.92509","-15.91182","-15.94003","-15.92593","-20.375",
"03/01/2002 07:00:00","47.12053","-16.30806","-16.34128","-16.32467","-20.6",
"03/01/2002 08:00:00","47.53674","-16.55677","-16.55412","-16.55545","-20.6",
"03/01/2002 09:00:00","43.95929","-16.18816","-15.96959","-16.07887","-20.6",
"03/01/2002 10:00:00","40.11436","-15.69676","-15.40389","-15.55033","-20.9125",
"03/01/2002 11:00:00","35.39525","-14.80333","-13.87289","-14.33811","-21.7875",
"03/01/2002 12:00:00","19.29627","-7.774634","-5.279492","-6.527063","-20.825",
