Date/Time,SOUTH WALL:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),SOUTH WINDOW LEFT:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),SOUWTH WINDOW RIGHT:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),EAST WALL:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),NORTH WALL:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WEST WALL:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ROOF:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),SOUTH WALL:Surface Outside Face Solar Radiation Heat Gain Rate per Area [W/m2](Hourly),EAST WALL:Surface Outside Face Solar Radiation Heat Gain Rate per Area [W/m2](Hourly),NORTH WALL:Surface Outside Face Solar Radiation Heat Gain Rate per Area [W/m2](Hourly),WEST WALL:Surface Outside Face Solar Radiation Heat Gain Rate per Area [W/m2](Hourly),ROOF:Surface Outside Face Solar Radiation Heat Gain Rate per Area [W/m2](Hourly),ZONE 1:Zone Air System Sensible Heating Rate [W](Hourly),ZONE 1:Zone Air System Sensible Cooling Rate [W](Hourly) 
 01/01  01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1665.854495562559,0.0 
 01/01  02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1621.710581175111,0.0 
 01/01  03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1618.6613113981111,0.0 
 01/01  04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1620.1400228599166,0.0 
 01/01  05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1621.1653259111665,0.0 
 01/01  06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1618.6887465832872,0.0 
 01/01  07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1523.36318826058,0.0 
 01/01  08:00:00,28.26352056874596,28.26352056874596,28.26352056874596,36.11412903353281,10.482877605767247,10.482877605767247,21.39829870367755,16.958112341247575,21.668477420119687,6.2897265634603489,6.2897265634603489,12.838979222206529,1383.1183953190816,0.0 
 01/01  09:00:00,114.47219389202052,114.47219389202052,114.47219389202052,122.38728780904803,44.79566112036541,44.79566112036541,97.31928462571236,68.68331633521231,73.43237268542882,26.87739667221924,26.87739667221924,58.39157077542741,978.2089587039927,0.0 
 01/01  10:00:00,230.71498352524629,230.71498352524629,230.71498352524629,172.88736484233474,61.965361361569247,61.965361361569247,162.47806674115646,138.42899011514778,103.73241890540084,37.17921681694154,37.17921681694154,97.48684004469387,485.86508196371337,0.0 
 01/01  11:00:00,783.5297997292837,783.5297997292837,783.5297997292837,370.37701241791447,83.91926025643756,83.91926025643756,397.3659459842511,470.1178798375702,222.22620745074867,50.351556153862528,50.351556153862528,238.41956759055064,0.0,84.48606202818749 
