Date/Time,SOUTH WALL:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),SOUTH WINDOW LEFT:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),SOUWTH WINDOW RIGHT:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),EAST WALL:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),NORTH WALL:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WEST WALL:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ROOF:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ZONE 1:Zone Mean Air Temperature [C](Hourly) 
 01/01  01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.208183918031154 
 01/01  02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.426929633922923 
 01/01  03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8410641436646 
 01/01  04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.488868954264394 
 01/01  05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.332331639620304 
 01/01  06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.358636721031944 
 01/01  07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.790821489612262 
 01/01  08:00:00,28.26352056874596,28.26352056874596,28.26352056874596,36.11412903353281,10.482877605767247,10.482877605767247,21.39829870367755,6.5868305019366499 
 01/01  09:00:00,114.47219389202052,114.47219389202052,114.47219389202052,122.38728780904803,44.79566112036541,44.79566112036541,97.31928462571236,7.2329292632021 
 01/01  10:00:00,230.71498352524629,230.71498352524629,230.71498352524629,172.88736484233474,61.965361361569247,61.965361361569247,162.47806674115646,8.862608027908431 
 01/01  11:00:00,783.5297997292837,783.5297997292837,783.5297997292837,370.37701241791447,83.91926025643756,83.91926025643756,397.3659459842511,15.76660573831537 
 01/01  12:00:00,941.6137077749876,941.6137077749876,941.6137077749876,199.66107974333193,85.35121578415792,85.35121578415792,493.0319031372155,26.928565959846268 
 01/01  13:00:00,918.5280554005634,918.5280554005634,918.5280554005634,70.6686357813885,70.6686357813885,190.77066160202333,475.40865410514587,36.355487291743148 
 01/01  14:00:00,825.4710652457992,825.4710652457992,825.4710652457992,49.90819747636143,49.90819747636143,380.56343892638207,399.6040882837648,43.74720893532108 
 01/01  15:00:00,639.4186325876558,639.4186325876558,639.4186325876558,27.82905689339292,27.82905689339292,482.9635990590676,266.31483743041147,47.84300918374862 
 01/01  16:00:00,388.74365142666877,388.74365142666877,388.74365142666877,12.540144485157797,12.540144485157797,431.61453779664427,117.95531329748158,48.59309068510578 
 01/01  17:00:00,58.144904297507668,58.144904297507668,58.144904297507668,4.365064676294259,4.365064676294259,84.55416967850705,12.195584934577699,44.83584713574136 
 01/01  18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.23326425023646 
 01/01  19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.342813522538559 
 01/01  20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.15287302184639 
 01/01  21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.125578231370718 
 01/01  22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.672846188806085 
 01/01  23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.554227668215888 
 01/01  24:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.63848159589723 
 01/02  01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.766262190854372 
 01/02  02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.153455433842307 
 01/02  03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.801101812193508 
 01/02  04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.510419758936854 
 01/02  05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.417335245285983 
 01/02  06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.505206076225066 
 01/02  07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7501769521412599 
