GenOpt(R) Version 3.1.1, March 29, 2016

Lawrence Berkeley National Laboratory
http://simulationresearch.lbl.gov
Michael Wetter, MWetter@lbl.gov

GenOpt Copyright (c) 1998-2016, The Regents of the
University of California, through Lawrence Berkeley
National Laboratory (subject to receipt of any 
required approvals from the U.S. Dept. of Energy).
All rights reserved.
_______________________________________________________________

Results of GPSPSOCCHJ algorithm
Start time: Sun Dec 23 16:37:36 GMT 2018

All Iterations


Simulation Number	Main Iteration	Sub Iteration	Step Number	Es_tot	Es_heat	Es_cool	Es_light	Q_heat	Q_cool	E_lights	windowLength	windowHeight
1	1	1	1	3.6256600198080025E10	2.9100603035331387E10	2.1714653148973823E8	6.938850631258899E9	1.8187876897082115E10	1.9740593771794382E8	2.1026820094723938E9	0.2	0.2	Generation 1.
2	2	1	1	2.4352864527099056E10	1.8796610109670403E10	1.787252324127649E9	3.7690020933010063E9	1.1747881318544E10	1.6247748401160445E9	1.1421218464548504E9	4.8	1.0	Generation 1.
3	3	1	1	3.175434371794997E10	2.5878695696710262E10	4.799795108196812E8	5.395668510420024E9	1.6174184810443913E10	4.363450098360738E8	1.6350510637636437E9	1.5	0.9	Generation 1.
4	4	1	1	3.2183170588829033E10	2.614363738961502E10	4.627810915770386E8	5.576752107636976E9	1.6339773368509386E10	4.207100832518532E8	1.689924881102114E9	6.3	0.2	Generation 1.
5	5	1	1	3.1641001734725414E10	1.376351420322712E10	1.4764483294151106E10	3.1130042373471866E9	8.602196377016949E9	1.3422257540137367E10	9.433346173779354E8	6.3	2.1	Generation 1.
6	6	1	1	3.1221864513717934E10	1.3773325680600403E10	1.4333886320353264E10	3.1146525127642674E9	8.608328550375252E9	1.3030805745775694E10	9.438340947770507E8	6.2	2.1	Generation 1.
7	7	1	1	2.868216053160831E10	2.3354365939809772E10	7.622692919590162E8	4.565525299839522E9	1.4596478712381107E10	6.929720835991056E8	1.3834925151028857E9	2.7	0.9	Generation 1.
8	8	1	1	2.8156356807349907E10	2.3189952429325726E10	7.668852523112806E8	4.199519125712902E9	1.4493720268328577E10	6.971684111920732E8	1.272581553246334E9	2.1	1.2	Generation 1.
9	9	1	1	3.059550012271349E10	2.559811481555446E10	4.910823936942675E8	4.506302913464764E9	1.5998821759721535E10	4.4643853972206134E8	1.365546337413565E9	0.9	1.7	Generation 1.
10	10	1	1	2.9403550486777725E10	2.3902832506132923E10	7.050438806216483E8	4.795674100023154E9	1.4939270316333076E10	6.409489823833166E8	1.4532345757645922E9	4.4	0.5	Generation 1.
