GenOpt(R) Version 3.1.1, March 29, 2016

Lawrence Berkeley National Laboratory
http://simulationresearch.lbl.gov
Michael Wetter, MWetter@lbl.gov

GenOpt Copyright (c) 1998-2016, The Regents of the
University of California, through Lawrence Berkeley
National Laboratory (subject to receipt of any 
required approvals from the U.S. Dept. of Energy).
All rights reserved.
_______________________________________________________________

Results of GPSPSOCCHJ algorithm
Start time: Sun Dec 23 18:07:51 GMT 2018

Main Iterations


Simulation Number	Main Iteration	Step Number	Es_tot	Es_heat	Es_cool	Es_light	Q_heat	Q_cool	E_lights	windowLength	windowWidth	setpointT	setpointS	slatAng
1	1	1	3.636783335539628E10	2.9185957949133327E10	2.115966987127618E8	6.970278707550192E9	1.824122371820833E10	1.9236063519341978E8	2.1122056689546037E9	0.2	0.2	5.0	100.0	10.0	Generation 1.
2	2	1	2.576158602471514E10	2.0822576816740784E10	8.770989519504112E8	4.061910256023945E9	1.301411051046299E10	7.973626835912828E8	1.2308818957648318E9	4.8	1.0	11.0	400.0	85.0	Generation 1.
3	3	1	3.4618775709101135E10	2.8229317777242706E10	2.7116134253308105E8	6.118296589325348E9	1.764332361077669E10	2.4651031139371002E8	1.8540292694925296E9	0.2	2.1	33.0	940.0	85.0	Generation 1.
4	4	1	2.9823019060795883E10	2.4248664795407745E10	6.144386414889238E8	4.959915623899214E9	1.515541549712984E10	5.585805831717489E8	1.5030047345149133E9	2.7	0.9	14.0	540.0	20.0	Generation 1.
5	5	1	2.5283129606177963E10	1.9803805991069923E10	1.5187606105931513E9	3.9605630045148897E9	1.2377378744418701E10	1.380691464175592E9	1.2001706074287546E9	5.1	1.5	9.5	440.0	20.0	Generation 1.
6	6	1	2.504649623905763E10	1.9167290988690174E10	2.654727343388586E9	3.2244779069788694E9	1.1979556867931358E10	2.4133884939896235E9	9.771145172663242E8	4.6	1.8	5.0	560.0	70.0	Generation 1.
7	7	1	3.1725798622674255E10	2.6113506507407803E10	4.3492215777141595E8	5.177369957495035E9	1.6320941567129875E10	3.953837797921963E8	1.5688999871197076E9	1.1	1.2	21.5	600.0	25.0	Generation 1.
8	8	1	3.3614201804736835E10	2.7257473594841583E10	3.181178848239741E8	6.038610325071277E9	1.7035920996775988E10	2.891980771127037E8	1.8298819166882658E9	4.1	0.6	5.5	240.0	25.0	Generation 1.
9	9	1	2.2952044531527927E10	1.7777190915285084E10	1.6610059159481776E9	3.5138477002946663E9	1.1110744322053177E10	1.5100053781347067E9	1.0648023334226261E9	3.6	2.1	12.5	440.0	25.0	Generation 1.
10	10	1	2.9802296933204643E10	2.4269249677816986E10	5.964754777268475E8	4.9365717776608095E9	1.5168281048635616E10	5.42250434297134E8	1.495930841715397E9	2.9	0.7	31.5	140.0	55.0	Generation 1.
11	11	1	3.073605584407528E10	2.503423569766215E10	5.76947758835353E8	5.124872387577776E9	1.5646397311038843E10	5.244979625775936E8	1.5529916325993261E9	4.3	0.4	24.5	960.0	25.0	Generation 1.
12	12	1	2.8349271113486893E10	2.320106820835132E10	6.696908893863924E8	4.478512015749183E9	1.4500667630219574E10	6.088098994421748E8	1.357124853257328E9	2.6	1.1	15.0	500.0	50.0	Generation 1.
13	13	1	2.5661737649850082E10	1.4417693058733362E10	7.993573113875177E9	3.250471477241544E9	9.011058161708351E9	7.266884648977433E9	9.849913567398618E8	6.5	1.5	32.5	540.0	50.0	Generation 1.
14	14	1	2.906689304182638E10	2.358978199719378E10	7.38360189579444E8	4.738750855053157E9	1.474361374824611E10	6.712365359813128E8	1.4359851075918658E9	2.9	0.8	26.5	940.0	25.0	Generation 1.
15	15	1	3.0449988040049706E10	2.523547179518871E10	5.181334807559125E8	4.696382764105082E9	1.5772169871992943E10	4.7103043705082947E8	1.4231462921530552E9	1.3	1.3	21.5	620.0	75.0	Generation 1.
16	16	1	2.860405752734187E10	2.3114656913404922E10	8.682637968836011E8	4.621136817053345E9	1.4446660570878077E10	7.893307244396373E8	1.4003444900161653E9	4.6	0.6	12.5	780.0	30.0	Generation 1.
17	17	1	3.4621312468179085E10	2.8014962287065548E10	2.5569152485851857E8	6.350658656255021E9	1.7509351429415966E10	2.324468407804714E8	1.9244420170469763E9	2.1	0.7	6.5	220.0	15.0	Generation 2.
18	18	1	2.4906480057081055E10	2.003906197426163E10	1.3738780089713776E9	3.4935400738480434E9	1.2524413733913519E10	1.2489800081557977E9	1.0586485072266799E9	4.7	1.3	8.5	460.0	80.0	Generation 2.
