GenOpt(R) Version 3.1.1, March 29, 2016

Lawrence Berkeley National Laboratory
http://simulationresearch.lbl.gov
Michael Wetter, MWetter@lbl.gov

GenOpt Copyright (c) 1998-2016, The Regents of the
University of California, through Lawrence Berkeley
National Laboratory (subject to receipt of any 
required approvals from the U.S. Dept. of Energy).
All rights reserved.
_______________________________________________________________

Results of GPSPSOCCHJ algorithm
Start time: Sun Dec 23 18:16:30 GMT 2018

All Iterations


Simulation Number	Main Iteration	Sub Iteration	Step Number	Es_tot	Es_heat	Es_cool	Es_light	Q_heat	Q_cool	E_lights	windowLength	windowWidth	beamS
1	1	1	1	3.354688624852653E10	2.6068990034616096E10	5.39045582651534E8	6.938850631258899E9	1.629311877163506E10	4.9004143877412176E8	2.1026820094723938E9	0.2	0.2	5.0	Generation 1.
2	2	1	1	2.330343881911595E10	1.6905798432733381E10	2.6286382930815625E9	3.7690020933010063E9	1.0566124020458363E10	2.389671175528693E9	1.1421218464548504E9	4.8	1.0	25.0	Generation 1.
3	3	1	1	3.1604138339149273E10	2.6143223662245766E10	1.3342141789158676E9	4.12670049798764E9	1.6339514788903603E10	1.2129219808326068E9	1.250515302420497E9	2.3	2.1	5.0	Generation 1.
4	4	1	1	3.442362150969889E10	1.721213411111514E10	1.4072451406431744E10	3.139035992152006E9	1.075758381944696E10	1.2793137642210674E10	9.512230279248505E8	6.3	2.1	85.0	Generation 1.
5	5	1	1	2.291294197670649E10	1.541164180195848E10	3.885749048479311E9	3.6155511262687E9	9.63227612622405E9	3.5324991349811916E9	1.0956215534147577E9	6.1	1.0	35.0	Generation 1.
6	6	1	1	2.6172197607559845E10	2.0704142230035614E10	1.2685205108584838E9	4.199534866665749E9	1.2940088893772259E10	1.1532004644168034E9	1.2725863232320452E9	2.1	1.2	15.0	Generation 1.
7	7	1	1	2.8270387391914368E10	1.9618664026751644E10	5.255107495917849E9	3.3966158692448745E9	1.2261665016719778E10	4.777370450834408E9	1.0292775361348106E9	5.1	1.5	20.0	Generation 1.
8	8	1	1	2.965147813396372E10	2.321534832097319E10	8.891540042683098E8	5.546975808722217E9	1.4509592700608242E10	8.083218220620998E8	1.6809017602188537E9	2.6	0.5	65.0	Generation 1.
9	9	1	1	3.038886699952751E10	2.3771603536427353E10	8.173362613275214E8	5.799927201772637E9	1.4857252210267094E10	7.430329648432013E8	1.7575536975068598E9	5.3	0.2	50.0	Generation 1.
10	10	1	1	2.678785019355498E10	2.0847130312273758E10	1.2812771521534653E9	4.659442729127758E9	1.3029456445171097E10	1.1647974110486047E9	1.4119523421599267E9	4.9	0.5	45.0	Generation 1.
11	11	1	1	2.2878216702471703E10	1.6574206791963835E10	2.796561832466481E9	3.5074480780413837E9	1.0358879244977396E10	2.5423289386058917E9	1.0628630539519346E9	3.6	1.4	20.0	Generation 1.
12	12	1	1	2.9703280210390106E10	2.3328758411309555E10	1.2839285850240273E9	5.09059321405652E9	1.458047400706847E10	1.1672078045672975E9	1.5426040042595518E9	4.1	0.6	5.0	Generation 1.
13	13	1	1	3.1378861002502876E10	2.4469783914588177E10	7.188837104528241E8	6.190193377461875E9	1.5293614946617609E10	6.535306458662037E8	1.8758161749884472E9	1.2	0.6	50.0	Generation 1.
14	14	1	1	2.384003470307441E10	1.7474896745411667E10	2.3547840925929475E9	4.0103538650697923E9	1.0921810465882292E10	2.140712811448134E9	1.2152587469908462E9	6.3	0.7	40.0	Generation 1.
15	15	1	1	2.8056401502266335E10	2.22750177522647E10	1.0113492114253424E9	4.770034538576288E9	1.3921886095165438E10	9.194083740230385E8	1.4454650116897845E9	1.6	1.1	25.0	Generation 1.
16	16	1	1	2.846567503563082E10	2.2333525048138535E10	1.0284223356261443E9	5.10372765186614E9	1.3958453155086584E10	9.349293960237675E8	1.5465841369291334E9	5.8	0.3	55.0	Generation 1.
17	17	1	1	3.3352010758393192E10	2.592627578457178E10	5.539136696246667E8	6.871821304196743E9	1.6203922365357363E10	5.035578814769697E8	2.0823700921808314E9	0.5	0.2	5.0	Generation 2.
17	18	1	1	2.330343881911595E10	1.6905798432733381E10	2.6286382930815625E9	3.7690020933010063E9	1.0566124020458363E10	2.389671175528693E9	1.1421218464548504E9	4.8	1.0	25.0	Generation 2.
18	19	1	1	3.1624427667958908E10	2.6108684416714165E10	1.3515535662389627E9	4.1641896850057783E9	1.6317927760446352E10	1.2286850602172387E9	1.2618756621229632E9	2.4	2.0	5.0	Generation 2.
19	20	1	1	3.3288165678612442E10	1.7058241096164467E10	1.30772575138571E10	3.1526670685908756E9	1.066140068510279E10	1.188841592168827E10	9.553536571487503E8	6.3	2.0	85.0	Generation 2.
19	21	1	1	2.291294197670649E10	1.541164180195848E10	3.885749048479311E9	3.6155511262687E9	9.63227612622405E9	3.5324991349811916E9	1.0956215534147577E9	6.1	1.0	35.0	Generation 2.
20	22	1	1	2.5697093878152443E10	2.023442439628677E10	1.3689518775515394E9	4.0937176043141336E9	1.264651524767923E10	1.2445017068650358E9	1.2405204861557982E9	2.3	1.2	15.0	Generation 2.
21	23	1	1	2.7785020521812004E10	1.9267124664813057E10	5.126025706571489E9	3.391870150427458E9	1.204195291550816E10	4.660023369610444E9	1.0278394395234721E9	5.0	1.5	20.0	Generation 2.
22	24	1	1	2.9363998882595802E10	2.300660237830778E10	9.200215904911793E8	5.437374913796843E9	1.4379126486442362E10	8.363832640828903E8	1.647689367817225E9	2.8	0.5	65.0	Generation 2.
22	25	1	1	3.038886699952751E10	2.3771603536427353E10	8.173362613275214E8	5.799927201772637E9	1.4857252210267094E10	7.430329648432013E8	1.7575536975068598E9	5.3	0.2	50.0	Generation 2.
23	26	1	1	2.594096908265886E10	2.0007441182591125E10	1.4662806191893213E9	4.467247280878416E9	1.2504650739119453E10	1.332982381081201E9	1.3537112972358837E9	4.8	0.6	45.0	Generation 2.
23	27	1	1	2.2878216702471703E10	1.6574206791963835E10	2.796561832466481E9	3.5074480780413837E9	1.0358879244977396E10	2.5423289386058917E9	1.0628630539519346E9	3.6	1.4	20.0	Generation 2.
23	28	1	1	2.9703280210390106E10	2.3328758411309555E10	1.2839285850240273E9	5.09059321405652E9	1.458047400706847E10	1.1672078045672975E9	1.5426040042595518E9	4.1	0.6	5.0	Generation 2.
24	29	1	1	3.0830103231550953E10	2.4068056619536217E10	7.700958339733989E8	5.991950778041337E9	1.5042535387210135E10	7.00087121793999E8	1.8157426600125265E9	1.5	0.6	50.0	Generation 2.
