GenOpt(R) Version 3.1.1, March 29, 2016

Lawrence Berkeley National Laboratory
http://simulationresearch.lbl.gov
Michael Wetter, MWetter@lbl.gov

GenOpt Copyright (c) 1998-2016, The Regents of the
University of California, through Lawrence Berkeley
National Laboratory (subject to receipt of any 
required approvals from the U.S. Dept. of Energy).
All rights reserved.
_______________________________________________________________

Results of GPSPSOCCHJ algorithm
Start time: Sun Dec 23 18:16:30 GMT 2018

Main Iterations


Simulation Number	Main Iteration	Step Number	Es_tot	Es_heat	Es_cool	Es_light	Q_heat	Q_cool	E_lights	windowLength	windowWidth	beamS
1	1	1	3.354688624852653E10	2.6068990034616096E10	5.39045582651534E8	6.938850631258899E9	1.629311877163506E10	4.9004143877412176E8	2.1026820094723938E9	0.2	0.2	5.0	Generation 1.
2	2	1	2.330343881911595E10	1.6905798432733381E10	2.6286382930815625E9	3.7690020933010063E9	1.0566124020458363E10	2.389671175528693E9	1.1421218464548504E9	4.8	1.0	25.0	Generation 1.
3	3	1	3.1604138339149273E10	2.6143223662245766E10	1.3342141789158676E9	4.12670049798764E9	1.6339514788903603E10	1.2129219808326068E9	1.250515302420497E9	2.3	2.1	5.0	Generation 1.
4	4	1	3.442362150969889E10	1.721213411111514E10	1.4072451406431744E10	3.139035992152006E9	1.075758381944696E10	1.2793137642210674E10	9.512230279248505E8	6.3	2.1	85.0	Generation 1.
5	5	1	2.291294197670649E10	1.541164180195848E10	3.885749048479311E9	3.6155511262687E9	9.63227612622405E9	3.5324991349811916E9	1.0956215534147577E9	6.1	1.0	35.0	Generation 1.
6	6	1	2.6172197607559845E10	2.0704142230035614E10	1.2685205108584838E9	4.199534866665749E9	1.2940088893772259E10	1.1532004644168034E9	1.2725863232320452E9	2.1	1.2	15.0	Generation 1.
7	7	1	2.8270387391914368E10	1.9618664026751644E10	5.255107495917849E9	3.3966158692448745E9	1.2261665016719778E10	4.777370450834408E9	1.0292775361348106E9	5.1	1.5	20.0	Generation 1.
8	8	1	2.965147813396372E10	2.321534832097319E10	8.891540042683098E8	5.546975808722217E9	1.4509592700608242E10	8.083218220620998E8	1.6809017602188537E9	2.6	0.5	65.0	Generation 1.
9	9	1	3.038886699952751E10	2.3771603536427353E10	8.173362613275214E8	5.799927201772637E9	1.4857252210267094E10	7.430329648432013E8	1.7575536975068598E9	5.3	0.2	50.0	Generation 1.
10	10	1	2.678785019355498E10	2.0847130312273758E10	1.2812771521534653E9	4.659442729127758E9	1.3029456445171097E10	1.1647974110486047E9	1.4119523421599267E9	4.9	0.5	45.0	Generation 1.
